,school_name,state_name,lowest_grade_offered,highest_grade_offered,total_students_all_grades,free_and_reduced_lunch_students,reduced-price_lunch_eligible_students,latitude,longitude,magnet_school,charter_school,shared_time_school,urban-centric_locale
0,ABERDEEN HIGH,Maryland,9th Grade,12th Grade,1458,661,124,39.516307,-76.171125,1-Yes,2-No,2-No,22-Suburb: Mid-size
1,ACADEMY OF HEALTH SCIENCES AT PGCC,Maryland,9th Grade,12th Grade,518,237,67,38.886849,-76.830282,1-Yes,2-No,2-No,21-Suburb: Large
2,ACHIEVEMENT ACADEMY @ HARBOR CITY HIGH,Maryland,9th Grade,12th Grade,411,411,"=""0""",39.36573,-76.56993100000003,2-No,2-No,2-No,11-City: Large
3,ALBERT EINSTEIN HIGH,Maryland,9th Grade,12th Grade,1746,633,147,39.039079,-77.067288,2-No,2-No,2-No,21-Suburb: Large
4,ALLEGANY HIGH,Maryland,9th Grade,12th Grade,721,264,40,39.655478,-78.79469499999998,2-No,2-No,2-No,13-City: Small
5,ANNAPOLIS HIGH,Maryland,9th Grade,12th Grade,1981,854,112,38.97449,-76.565609,2-No,2-No,2-No,21-Suburb: Large
6,ANNE ARUNDEL EVENING HIGH,Maryland,9th Grade,12th Grade,278,3,3,39.076619,-76.55828199999998,2-No,2-No,2-No,21-Suburb: Large
7,ARUNDEL HIGH,Maryland,9th Grade,12th Grade,2122,354,74,39.071243,-76.681988,2-No,2-No,2-No,21-Suburb: Large
8,ATHOLTON HIGH,Maryland,9th Grade,12th Grade,1504,121,20,39.188151,-76.88064,2-No,2-No,2-No,13-City: Small
9,AUGUSTA FELLS SAVAGE INSTITUTE OF VISUAL ARTS,Maryland,9th Grade,12th Grade,419,419,"=""0""",39.297281,-76.64088199999998,2-No,2-No,2-No,11-City: Large
10,BALTIMORE CITY COLLEGE,Maryland,9th Grade,12th Grade,1363,1363,"=""0""",39.325783,-76.59706,2-No,2-No,2-No,11-City: Large
11,BALTIMORE POLYTECHNIC INSTITUTE,Maryland,9th Grade,12th Grade,1593,1593,"=""0""",39.34600800000001,-76.643051,2-No,2-No,2-No,11-City: Large
12,BALTIMORE SCHOOL FOR THE ARTS,Maryland,9th Grade,12th Grade,440,440,"=""0""",39.29831,-76.61728000000002,2-No,2-No,2-No,11-City: Large
13,BARBARA INGRAM SCHOOL FOR THE ARTS,Maryland,9th Grade,12th Grade,297,55,19,39.641801,-77.72093000000002,1-Yes,2-No,2-No,13-City: Small
14,BARD HIGH SCHOOL EARLY COLLEGE,MARYLAND,9th Grade,12th Grade,482,482,"=""0""",39.317956,-76.66435899999998,2-No,2-No,2-No,11-City: Large
15,BCDC EDUCATIONAL CENTER,Maryland,9th Grade,12th Grade,30,12,"=""0""",39.39944000000001,-76.606073,2-No,2-No,2-No,13-City: Small
16,BEL AIR HIGH,Maryland,9th Grade,12th Grade,1544,206,41,39.529993,-76.346462,2-No,2-No,2-No,22-Suburb: Mid-size
17,BENJAMIN FRANKLIN HIGH SCHOOL AT MASONVILLE COVE,Maryland,9th Grade,12th Grade,532,532,"=""0""",39.232679,-76.59355500000002,2-No,2-No,2-No,11-City: Large
18,BETHESDA-CHEVY CHASE HIGH,Maryland,9th Grade,12th Grade,2124,213,53,38.98669500000001,-77.08897900000002,2-No,2-No,2-No,13-City: Small
19,BLADENSBURG HIGH,Maryland,9th Grade,12th Grade,1853,1464,192,38.942431,-76.917836,1-Yes,2-No,2-No,21-Suburb: Large
20,BOHEMIA MANOR HIGH,Maryland,9th Grade,12th Grade,670,183,32,39.510952,-75.83113900000002,2-No,2-No,2-No,41-Rural: Fringe
21,BOONSBORO HIGH,Maryland,9th Grade,12th Grade,941,182,39,39.516031,-77.651589,2-No,2-No,2-No,22-Suburb: Mid-size
22,BOWIE HIGH,Maryland,9th Grade,12th Grade,2392,798,194,38.978222,-76.743199,2-No,2-No,2-No,21-Suburb: Large
23,BROADNECK HIGH,Maryland,9th Grade,12th Grade,2153,223,52,39.039757,-76.45364599999998,2-No,2-No,2-No,21-Suburb: Large
24,BRUNSWICK HIGH,Maryland,9th Grade,12th Grade,743,156,33,39.316752,-77.608804,2-No,2-No,2-No,31-Town: Fringe
25,C. MILTON WRIGHT HIGH,Maryland,9th Grade,12th Grade,1421,233,65,39.561491,-76.330022,2-No,2-No,2-No,22-Suburb: Mid-size
26,CALVERT HIGH,Maryland,9th Grade,12th Grade,1147,289,45,38.553486,-76.582891,2-No,2-No,2-No,41-Rural: Fringe
27,CAMBRIDGE-SOUTH DORCHESTER HIGH SCHOOL,Maryland,9th Grade,12th Grade,816,816,"=""0""",38.54456500000001,-76.088756,2-No,2-No,2-No,41-Rural: Fringe
28,CARVER VOCATIONAL-TECHNICAL HIGH,Maryland,9th Grade,12th Grade,876,876,"=""0""",39.304502,-76.652727,2-No,2-No,2-No,11-City: Large
29,CATOCTIN HIGH,Maryland,9th Grade,12th Grade,761,167,39,39.63887800000001,-77.40972099999998,2-No,2-No,2-No,31-Town: Fringe
30,CATONSVILLE CENTER FOR ALTERNATIVE STUDIES,Maryland,9th Grade,12th Grade,65,45,5,39.252611,-76.725425,2-No,2-No,2-No,21-Suburb: Large
31,CATONSVILLE HIGH,Maryland,9th Grade,12th Grade,1830,621,101,39.25959,-76.73134399999998,2-No,2-No,2-No,21-Suburb: Large
32,CENTENNIAL HIGH,Maryland,9th Grade,12th Grade,1590,119,31,39.252957,-76.868643,2-No,2-No,2-No,41-Rural: Fringe
33,CENTRAL HIGH,Maryland,9th Grade,12th Grade,849,593,70,38.882208,-76.89117900000002,1-Yes,2-No,2-No,21-Suburb: Large
34,CENTURY HIGH,Maryland,9th Grade,12th Grade,1128,79,13,39.424903,-76.99166,2-No,2-No,2-No,41-Rural: Fringe
35,CHARLES HERBERT FLOWERS HIGH,Maryland,9th Grade,12th Grade,2186,1081,204,38.931495,-76.835031,1-Yes,2-No,2-No,21-Suburb: Large
36,CHESAPEAKE HIGH,Maryland,9th Grade,12th Grade,981,683,132,39.292693,-76.419421,1-Yes,2-No,2-No,21-Suburb: Large
37,CHESAPEAKE HIGH,Maryland,9th Grade,12th Grade,1379,208,46,39.110729,-76.46225799999998,2-No,2-No,2-No,21-Suburb: Large
38,CHOPTICON HIGH,Maryland,9th Grade,12th Grade,1679,402,83,38.359659,-76.70622900000002,2-No,2-No,2-No,42-Rural: Distant
39,CITY NEIGHBORS HIGH,Maryland,9th Grade,12th Grade,417,417,"=""0""",39.350482,-76.554826,2-No,1-Yes,2-No,11-City: Large
40,CLARKSBURG HIGH,Maryland,9th Grade,12th Grade,2338,627,132,39.225848,-77.266097,2-No,2-No,2-No,21-Suburb: Large
41,CLEAR SPRING HIGH,Maryland,9th Grade,12th Grade,462,145,33,39.657618,-77.93693,2-No,2-No,2-No,41-Rural: Fringe
42,COL. ZADOK MAGRUDER HIGH,Maryland,9th Grade,12th Grade,1609,530,109,39.131324,-77.118326,2-No,2-No,2-No,41-Rural: Fringe
43,COLONEL RICHARDSON HIGH SCHOOL,Maryland,9th Grade,12th Grade,526,278,41,38.754815,-75.82816,2-No,2-No,2-No,42-Rural: Distant
44,COPPIN ACADEMY,Maryland,9th Grade,12th Grade,352,352,"=""0""",39.30999,-76.65772,2-No,1-Yes,2-No,11-City: Large
45,CROSSLAND EVENING/SATURDAY HIGH,Maryland,9th Grade,12th Grade,200,117,13,38.794416,-76.930718,2-No,2-No,2-No,21-Suburb: Large
46,CROSSLAND HIGH,Maryland,9th Grade,12th Grade,1015,634,117,38.794412,-76.930724,1-Yes,2-No,2-No,21-Suburb: Large
47,DAMASCUS HIGH,Maryland,9th Grade,12th Grade,1311,208,45,39.282096,-77.210448,2-No,2-No,2-No,21-Suburb: Large
