,School_Rating,House_Area,Lot_Area,Room_No,Bath_No,Garage,Pool,House_Age,Walkability,Crime_Rate,Zipcode
0,8,2030,4715,3.0,2.0,1.0,1.0,48,7.0,4,20166
1,8,1739,5499,2.0,2.0,0.0,1.0,37,8.0,3,20166
2,7,3628,5689,5.0,5.0,1.0,0.0,59,6.0,4,20170
3,4,2019,5441,3.0,2.0,0.0,0.0,2,4.0,8,20124
4,9,2311,6227,3.0,3.0,1.0,0.0,17,8.0,5,20165
5,8,3662,6049,5.0,4.0,1.0,0.0,41,5.0,6,20166
6,4,2545,5728,4.0,3.0,1.0,1.0,43,5.0,8,20124
7,9,3050,5876,4.0,4.0,0.0,1.0,2,6.0,5,20165
8,7,3079,6930,4.0,4.0,0.0,1.0,9,6.0,4,20189
9,7,1718,3883,2.0,1.0,0.0,0.0,10,8.0,5,20189
