,school_name,state_name_latest_available_year,school_id_nces_assigned_latest_available_year,county_name,mailing_address_3,location_zip,magnet_school,shared_time_school,urban_centric_locale,school_wide_title_i,state_agency_id,state_school_id
0,A G RICHARDSON ELEM,Virginia,510105000374,Culpeper County,†,22701,2-No,2-No,32-Town: Distant,†,VA-024,VA-024-0240240
1,A M DAVIS ELEM,Virginia,510084000314,Chesterfield County,†,23236,2-No,2-No,21-Suburb: Large,1-Yes,VA-021,VA-021-0210620
2,A. HENDERSON ELEM,Virginia,510313002039,Prince William County,†,22025,2-No,2-No,21-Suburb: Large,†,VA-075,VA-075-0750330
3,A. LINWOOD HOLTON GOV. SCH.,Virginia,510003301933,Washington County,†,24210,1-Yes,1-Yes,23-Suburb: Small,†,VA-268,VA-268-2680010
4,A. MARIO LOIEDERMAN MIDDLE,Maryland,240048001446,Montgomery County,†,20906,1-Yes,2-No,21-Suburb: Large,1-Yes,MD-15,MD-15-150787
5,A. R. WARE ELEM,Virginia,510369001610,Staunton city,†,24401,2-No,2-No,13-City: Small,1-Yes,VA-126,VA-126-1260040
6,A.S. RHODES ELEM,Virginia,510387001729,Warren County,†,22630,2-No,2-No,31-Town: Fringe,1-Yes,VA-093,VA-093-0930090
7,A.W.E. BASSETTE ELEM,Virginia,510180000725,Hampton city,†,23661,2-No,2-No,12-City: Mid-size,1-Yes,VA-112,VA-112-1120500
8,ABBOTTSTON ELEMENTARY,Maryland,240009000143,Baltimore city,†,21218,2-No,2-No,11-City: Large,1-Yes,MD-30,MD-30-300050
9,ABBS VALLEY-BOISSEVAIN ELEM,Virginia,510381001645,Tazewell County,†,24605,2-No,2-No,42-Rural: Distant,1-Yes,VA-092,VA-092-0921020
10,ABERDEEN ELEM,Virginia,510180000726,Hampton city,†,23666,2-No,2-No,12-City: Mid-size,1-Yes,VA-112,VA-112-1120160
11,ABERDEEN HIGH,Maryland,240039000679,Harford County,†,21001,1-Yes,2-No,22-Suburb: Mid-size,1-Yes,MD-12,MD-12-120270
12,ABERDEEN MIDDLE,Maryland,240039000678,Harford County,†,21001,2-No,2-No,22-Suburb: Mid-size,1-Yes,MD-12,MD-12-120265
13,ABINGDON ELEM,Virginia,510027000081,Arlington County,†,22206,2-No,2-No,12-City: Mid-size,1-Yes,VA-007,VA-007-0070350
14,ABINGDON ELEM,Virginia,510162000677,Gloucester County,†,23072,2-No,2-No,21-Suburb: Large,2-No,VA-036,VA-036-0360250
15,ABINGDON ELEM,Virginia,510390001735,Washington County,†,24210,2-No,2-No,23-Suburb: Small,2-No,VA-094,VA-094-0941080
16,ABINGDON ELEMENTARY,Maryland,240039000162,Harford County,†,21009,2-No,2-No,22-Suburb: Mid-size,†,MD-12,MD-12-120123
17,ABINGDON HIGH,Virginia,510390001736,Washington County,†,24210,2-No,2-No,23-Suburb: Small,†,VA-094,VA-094-0941030
18,ACADEMY 360,VIRGINIA,510084002983,Chesterfield County,†,23112,2-No,1-Yes,21-Suburb: Large,†,VA-021,VA-021-0210930
19,ACADEMY AT VIRGINIA RANDOLPH,Virginia,510189000805,Henrico County,†,23060,2-No,1-Yes,21-Suburb: Large,†,VA-043,VA-043-0430040
20,ACADEMY FOR COLLEGE AND CAREER EXPLORATION,Maryland,240009001381,Baltimore city,†,21211,2-No,2-No,11-City: Large,1-Yes,MD-30,MD-30-300427
21,ACADEMY FOR DISCOVERY AT LAKEWOOD,VIRGINIA,510267003018,Norfolk city,†,23509,2-No,2-No,12-City: Mid-size,†,VA-118,VA-118-1180185
22,ACADEMY OF HEALTH SCIENCES AT PGCC,Maryland,240051001704,Prince George's County,†,20774,1-Yes,2-No,21-Suburb: Large,†,MD-16,MD-16-161350
23,ACCAWMACKE ELEM,Virginia,510006001737,Accomack County,†,23301,2-No,2-No,43-Rural: Remote,1-Yes,VA-001,VA-001-0010701
24,ACCIDENT ELEMENTARY,Maryland,240036000662,Garrett County,†,21520,2-No,2-No,42-Rural: Distant,1-Yes,MD-11,MD-11-110501
25,ACCOKEEK ACADEMY,Maryland,240051001686,Prince George's County,†,20607,1-Yes,2-No,41-Rural: Fringe,†,MD-16,MD-16-160509
26,ACHIEVABLE DREAM ACADEMY,Virginia,510264002343,Newport News city,†,23607,1-Yes,2-No,12-City: Mid-size,1-Yes,VA-117,VA-117-1171404
27,ACHIEVABLE DREAM MIDDLE/HIGH,Virginia,510264002344,Newport News city,†,23605,1-Yes,2-No,12-City: Mid-size,†,VA-117,VA-117-1171405
28,ACHIEVEMENT ACADEMY @ HARBOR CITY HIGH,Maryland,240009000236,Baltimore city,†,21214,2-No,2-No,11-City: Large,†,MD-30,MD-30-300413
29,ACHIEVEMENT INTEGRITY AND MATURITY,Virginia,510126002674,Fairfax County,†,22306,2-No,1-Yes,21-Suburb: Large,†,VA-029,VA-029-0292244
30,ACHIEVEMENT PREPARATORY ACADEMY PCS - WAHLER PLACE ES,District of Columbia,110007200473,District of Columbia,†,20032,†,–,11-City: Large,–,DC-155,DC-155-217
31,ACHIEVEMENT PREPARATORY ACADEMY PCS - WAHLER PLACE MS,District of Columbia,110007200405,District of Columbia,†,20032,†,–,11-City: Large,–,DC-155,DC-155-1100
32,ACHILLES ELEM,Virginia,510162000678,Gloucester County,†,23072,2-No,2-No,41-Rural: Fringe,2-No,VA-036,VA-036-0360240
33,ACQUINTON ELEM,Virginia,510212002151,King William County,†,23086,2-No,2-No,42-Rural: Distant,†,VA-050,VA-050-0500180
