school_name,state_name,lowest_grade_offered,highest_grade_offered,total_students_all_grades,free_and_reduced_lunch_students,reduced-price_lunch_eligible_students,latitude,longitude,magnet_school,charter_school,shared_time_school,urban-centric_locale,school_id_nces_assigned_latest_available_year,county_name,mailing_address_3,location_zip,urban_centric_locale,school_wide_title_i,state_agency_id,state_school_id
ABERDEEN HIGH,Maryland,9th Grade,12th Grade,1458,661,124,39.516307,-76.171125,1-Yes,2-No,2-No,22-Suburb: Mid-size,240039000679,Harford County,†,21001,22-Suburb: Mid-size,1-Yes,MD-12,MD-12-120270
ACADEMY OF HEALTH SCIENCES AT PGCC,Maryland,9th Grade,12th Grade,518,237,67,38.886849,-76.830282,1-Yes,2-No,2-No,21-Suburb: Large,240051001704,Prince George's County,†,20774,21-Suburb: Large,†,MD-16,MD-16-161350
ACHIEVEMENT ACADEMY @ HARBOR CITY HIGH,Maryland,9th Grade,12th Grade,411,411,"=""0""",39.36573,-76.56993100000003,2-No,2-No,2-No,11-City: Large,240009000236,Baltimore city,†,21214,11-City: Large,†,MD-30,MD-30-300413
ALBERT EINSTEIN HIGH,Maryland,9th Grade,12th Grade,1746,633,147,39.039079,-77.067288,2-No,2-No,2-No,21-Suburb: Large,240048000773,Montgomery County,†,20895,21-Suburb: Large,2-No,MD-15,MD-15-150789
ALLEGANY HIGH,Maryland,9th Grade,12th Grade,721,264,40,39.655478,-78.79469499999998,2-No,2-No,2-No,13-City: Small,240003000001,Allegany County,†,21502,13-City: Small,†,MD-01,MD-01-010606
ANNAPOLIS HIGH,Maryland,9th Grade,12th Grade,1981,854,112,38.97449,-76.565609,2-No,2-No,2-No,21-Suburb: Large,240006000037,Anne Arundel County,†,21401,21-Suburb: Large,2-No,MD-02,MD-02-024013
ANNE ARUNDEL EVENING HIGH,Maryland,9th Grade,12th Grade,278,3,3,39.076619,-76.55828199999998,2-No,2-No,2-No,21-Suburb: Large,240006000899,Anne Arundel County,†,21146,21-Suburb: Large,†,MD-02,MD-02-022233
ARUNDEL HIGH,Maryland,9th Grade,12th Grade,2122,354,74,39.071243,-76.681988,2-No,2-No,2-No,21-Suburb: Large,240006000040,Anne Arundel County,†,21054,21-Suburb: Large,†,MD-02,MD-02-023013
ATHOLTON HIGH,Maryland,9th Grade,12th Grade,1504,121,20,39.188151,-76.88064,2-No,2-No,2-No,13-City: Small,240042000719,Howard County,†,21044,13-City: Small,†,MD-13,MD-13-130509
AUGUSTA FELLS SAVAGE INSTITUTE OF VISUAL ARTS,Maryland,9th Grade,12th Grade,419,419,"=""0""",39.297281,-76.64088199999998,2-No,2-No,2-No,11-City: Large,240009001387,Baltimore city,†,21217,11-City: Large,1-Yes,MD-30,MD-30-300430
BALTIMORE CITY COLLEGE,Maryland,9th Grade,12th Grade,1363,1363,"=""0""",39.325783,-76.59706,2-No,2-No,2-No,11-City: Large,240009000150,Baltimore city,†,21218,11-City: Large,2-No,MD-30,MD-30-300480
BALTIMORE POLYTECHNIC INSTITUTE,Maryland,9th Grade,12th Grade,1593,1593,"=""0""",39.34600800000001,-76.643051,2-No,2-No,2-No,11-City: Large,240009000151,Baltimore city,†,21209,11-City: Large,†,MD-30,MD-30-300403
BALTIMORE SCHOOL FOR THE ARTS,Maryland,9th Grade,12th Grade,440,440,"=""0""",39.29831,-76.61728000000002,2-No,2-No,2-No,11-City: Large,240009001391,Baltimore city,†,21201,11-City: Large,†,MD-30,MD-30-300415
BARBARA INGRAM SCHOOL FOR THE ARTS,Maryland,9th Grade,12th Grade,297,55,19,39.641801,-77.72093000000002,1-Yes,2-No,2-No,13-City: Small,240066001674,Washington County,†,21740,13-City: Small,†,MD-21,MD-21-210040
BARD HIGH SCHOOL EARLY COLLEGE,Maryland,9th Grade,12th Grade,482,482,"=""0""",39.317956,-76.66435899999998,2-No,2-No,2-No,11-City: Large,240009001735,Baltimore city,†,21216,11-City: Large,1-Yes,MD-30,MD-30-300362
BCDC EDUCATIONAL CENTER,Maryland,9th Grade,12th Grade,30,12,"=""0""",39.39944000000001,-76.606073,2-No,2-No,2-No,13-City: Small,240012001711,Baltimore County,†,21204,13-City: Small,†,MD-03,MD-03-030077
BEL AIR HIGH,Maryland,9th Grade,12th Grade,1544,206,41,39.529993,-76.346462,2-No,2-No,2-No,22-Suburb: Mid-size,240039000683,Harford County,†,21014,22-Suburb: Mid-size,†,MD-12,MD-12-120373
BENJAMIN FRANKLIN HIGH SCHOOL AT MASONVILLE COVE,Maryland,9th Grade,12th Grade,532,532,"=""0""",39.232679,-76.59355500000002,2-No,2-No,2-No,11-City: Large,240009000157,Baltimore city,†,21225,11-City: Large,1-Yes,MD-30,MD-30-300239
BETHESDA-CHEVY CHASE HIGH,Maryland,9th Grade,12th Grade,2124,213,53,38.98669500000001,-77.08897900000002,2-No,2-No,2-No,13-City: Small,240048000784,Montgomery County,†,20814,13-City: Small,†,MD-15,MD-15-150406
BLADENSBURG HIGH,Maryland,9th Grade,12th Grade,1853,1464,192,38.942431,-76.917836,1-Yes,2-No,2-No,21-Suburb: Large,240051000987,Prince George's County,†,20710,21-Suburb: Large,1-Yes,MD-16,MD-16-160208
BOHEMIA MANOR HIGH,Maryland,9th Grade,12th Grade,670,183,32,39.510952,-75.83113900000002,2-No,2-No,2-No,41-Rural: Fringe,240024000558,Cecil County,†,21915,41-Rural: Fringe,†,MD-07,MD-07-070204
BOONSBORO HIGH,Maryland,9th Grade,12th Grade,941,182,39,39.516031,-77.651589,2-No,2-No,2-No,22-Suburb: Mid-size,240066001256,Washington County,†,21713,22-Suburb: Mid-size,†,MD-21,MD-21-210601
BOWIE HIGH,Maryland,9th Grade,12th Grade,2392,798,194,38.978222,-76.743199,2-No,2-No,2-No,21-Suburb: Large,240051000990,Prince George's County,†,20715,21-Suburb: Large,†,MD-16,MD-16-161423
BROADNECK HIGH,Maryland,9th Grade,12th Grade,2153,223,52,39.039757,-76.45364599999998,2-No,2-No,2-No,21-Suburb: Large,240006001402,Anne Arundel County,†,21409,21-Suburb: Large,†,MD-02,MD-02-022363
BRUNSWICK HIGH,Maryland,9th Grade,12th Grade,743,156,33,39.316752,-77.608804,2-No,2-No,2-No,31-Town: Fringe,240033000627,Frederick County,†,21716,31-Town: Fringe,†,MD-10,MD-10-102503
C. MILTON WRIGHT HIGH,Maryland,9th Grade,12th Grade,1421,233,65,39.561491,-76.330022,2-No,2-No,2-No,22-Suburb: Mid-size,240039001380,Harford County,†,21015,22-Suburb: Mid-size,†,MD-12,MD-12-120385
CALVERT HIGH,Maryland,9th Grade,12th Grade,1147,289,45,38.553486,-76.582891,2-No,2-No,2-No,41-Rural: Fringe,240015000508,Calvert County,†,20678,41-Rural: Fringe,2-No,MD-04,MD-04-040213
CAMBRIDGE-SOUTH DORCHESTER HIGH SCHOOL,Maryland,9th Grade,12th Grade,816,816,"=""0""",38.54456500000001,-76.088756,2-No,2-No,2-No,41-Rural: Fringe,240030000612,Dorchester County,†,21613,41-Rural: Fringe,1-Yes,MD-09,MD-09-090713
CARVER VOCATIONAL-TECHNICAL HIGH,Maryland,9th Grade,12th Grade,876,876,"=""0""",39.304502,-76.652727,2-No,2-No,2-No,11-City: Large,240009000168,Baltimore city,†,21216,11-City: Large,1-Yes,MD-30,MD-30-300454
CATOCTIN HIGH,Maryland,9th Grade,12th Grade,761,167,39,39.63887800000001,-77.40972099999998,2-No,2-No,2-No,31-Town: Fringe,240033000629,Frederick County,†,21788,31-Town: Fringe,†,MD-10,MD-10-101509
CATONSVILLE CENTER FOR ALTERNATIVE STUDIES,Maryland,9th Grade,12th Grade,65,45,5,39.252611,-76.725425,2-No,2-No,2-No,21-Suburb: Large,240012000436,Baltimore County,†,21228,21-Suburb: Large,1-Yes,MD-03,MD-03-030069
CATONSVILLE HIGH,Maryland,9th Grade,12th Grade,1830,621,101,39.25959,-76.73134399999998,2-No,2-No,2-No,21-Suburb: Large,240012000355,Baltimore County,†,21228,21-Suburb: Large,†,MD-03,MD-03-030174
CENTENNIAL HIGH,Maryland,9th Grade,12th Grade,1590,119,31,39.252957,-76.868643,2-No,2-No,2-No,41-Rural: Fringe,240042000722,Howard County,†,21042,41-Rural: Fringe,†,MD-13,MD-13-130214
CENTRAL HIGH,Maryland,9th Grade,12th Grade,849,593,70,38.882208,-76.89117900000002,1-Yes,2-No,2-No,21-Suburb: Large,240051001002,Prince George's County,†,20743,21-Suburb: Large,†,MD-16,MD-16-161810
CENTURY HIGH,Maryland,9th Grade,12th Grade,1128,79,13,39.424903,-76.99166,2-No,2-No,2-No,41-Rural: Fringe,240021001161,Carroll County,†,21784,41-Rural: Fringe,†,MD-06,MD-06-060510
CHARLES HERBERT FLOWERS HIGH,Maryland,9th Grade,12th Grade,2186,1081,204,38.931495,-76.835031,1-Yes,2-No,2-No,21-Suburb: Large,240051002951,Prince George's County,†,20774,21-Suburb: Large,†,MD-16,MD-16-161327
CHESAPEAKE HIGH,Maryland,9th Grade,12th Grade,981,683,132,39.292693,-76.419421,1-Yes,2-No,2-No,21-Suburb: Large,240012000362,Baltimore County,†,21221,21-Suburb: Large,1-Yes,MD-03,MD-03-031574
CHESAPEAKE HIGH,Maryland,9th Grade,12th Grade,1379,208,46,39.110729,-76.46225799999998,2-No,2-No,2-No,21-Suburb: Large,240006000058,Anne Arundel County,†,21122,21-Suburb: Large,†,MD-02,MD-02-022273
CHOPTICON HIGH,Maryland,9th Grade,12th Grade,1679,402,83,38.359659,-76.70622900000002,2-No,2-No,2-No,42-Rural: Distant,240060001218,St. Mary's County,†,20660,42-Rural: Distant,†,MD-18,MD-18-180303
CITY NEIGHBORS HIGH,Maryland,9th Grade,12th Grade,417,417,"=""0""",39.350482,-76.554826,2-No,1-Yes,2-No,11-City: Large,240009001690,Baltimore city,†,21214,11-City: Large,1-Yes,MD-30,MD-30-300376
CLARKSBURG HIGH,Maryland,9th Grade,12th Grade,2338,627,132,39.225848,-77.266097,2-No,2-No,2-No,21-Suburb: Large,240048001541,Montgomery County,†,20871,21-Suburb: Large,†,MD-15,MD-15-150249
CLEAR SPRING HIGH,Maryland,9th Grade,12th Grade,462,145,33,39.657618,-77.93693,2-No,2-No,2-No,41-Rural: Fringe,240066001260,Washington County,†,21722,41-Rural: Fringe,†,MD-21,MD-21-210403
COL. ZADOK MAGRUDER HIGH,Maryland,9th Grade,12th Grade,1609,530,109,39.131324,-77.118326,2-No,2-No,2-No,41-Rural: Fringe,240048000808,Montgomery County,†,20855,41-Rural: Fringe,†,MD-15,MD-15-150510
COLONEL RICHARDSON HIGH SCHOOL,Maryland,9th Grade,12th Grade,526,278,41,38.754815,-75.82816,2-No,2-No,2-No,42-Rural: Distant,240018000518,Caroline County,†,21632,42-Rural: Distant,1-Yes,MD-05,MD-05-050801
COPPIN ACADEMY,Maryland,9th Grade,12th Grade,352,352,"=""0""",39.30999,-76.65772,2-No,1-Yes,2-No,11-City: Large,240009001530,Baltimore city,†,21216,11-City: Large,1-Yes,MD-30,MD-30-300432
CROSSLAND EVENING/SATURDAY HIGH,Maryland,9th Grade,12th Grade,200,117,13,38.794416,-76.930718,2-No,2-No,2-No,21-Suburb: Large,240051001062,Prince George's County,†,20748,21-Suburb: Large,†,MD-16,MD-16-162213
CROSSLAND HIGH,Maryland,9th Grade,12th Grade,1015,634,117,38.794412,-76.930724,1-Yes,2-No,2-No,21-Suburb: Large,240051001017,Prince George's County,†,20748,21-Suburb: Large,†,MD-16,MD-16-161217
DAMASCUS HIGH,Maryland,9th Grade,12th Grade,1311,208,45,39.282096,-77.210448,2-No,2-No,2-No,21-Suburb: Large,240048001455,Montgomery County,†,20872,21-Suburb: Large,†,MD-15,MD-15-150701
DIGITAL HARBOR HIGH SCHOOL,Maryland,9th Grade,12th Grade,1196,1196,"=""0""",39.276597,-76.607535,2-No,2-No,2-No,11-City: Large,240009001313,Baltimore city,†,21230,11-City: Large,1-Yes,MD-30,MD-30-300416
DR. HENRY A. WISE JR. HIGH,Maryland,9th Grade,12th Grade,2295,991,196,38.833955,-76.787819,2-No,2-No,2-No,21-Suburb: Large,240051001542,Prince George's County,†,20772,21-Suburb: Large,†,MD-16,MD-16-161519
DULANEY HIGH,Maryland,9th Grade,12th Grade,1879,414,81,39.460917,-76.612039,2-No,2-No,2-No,21-Suburb: Large,240012000373,Baltimore County,†,21093,21-Suburb: Large,†,MD-03,MD-03-030872
DUNDALK HIGH,Maryland,9th Grade,12th Grade,1621,1621,"=""0""",39.266351,-76.516297,2-No,2-No,2-No,21-Suburb: Large,240012000377,Baltimore County,†,21222,21-Suburb: Large,1-Yes,MD-03,MD-03-031273
DUVAL HIGH,Maryland,9th Grade,12th Grade,2022,1337,226,38.989462,-76.837694,1-Yes,2-No,2-No,21-Suburb: Large,240051001023,Prince George's County,†,20706,21-Suburb: Large,†,MD-16,MD-16-161409
EASTERN TECHNICAL HIGH SCHOOL,Maryland,9th Grade,12th Grade,1172,286,77,39.324987,-76.473251,1-Yes,2-No,2-No,21-Suburb: Large,240012000379,Baltimore County,†,21221,21-Suburb: Large,†,MD-03,MD-03-031575
EASTON HIGH,Maryland,9th Grade,12th Grade,1196,499,42,38.755785,-76.065719,2-No,2-No,2-No,32-Town: Distant,240063001242,Talbot County,†,21601,32-Town: Distant,2-No,MD-20,MD-20-200101
EDGEWOOD HIGH,Maryland,9th Grade,12th Grade,1387,781,140,39.423364,-76.28619599999998,1-Yes,2-No,2-No,22-Suburb: Mid-size,240039000690,Harford County,†,21040,22-Suburb: Mid-size,1-Yes,MD-12,MD-12-120176
EDMONDSON-WESTSIDE HIGH,Maryland,9th Grade,12th Grade,881,881,"=""0""",39.29139,-76.688034,2-No,2-No,2-No,11-City: Large,240009000194,Baltimore city,†,21229,11-City: Large,1-Yes,MD-30,MD-30-300400
ELEANOR ROOSEVELT HIGH,Maryland,9th Grade,12th Grade,2649,1230,250,38.994714,-76.86967,1-Yes,2-No,2-No,21-Suburb: Large,240051001027,Prince George's County,†,20770,21-Suburb: Large,†,MD-16,MD-16-162114
ELKTON HIGH,Maryland,9th Grade,12th Grade,983,442,57,39.622872,-75.834841,2-No,2-No,2-No,21-Suburb: Large,240024000568,Cecil County,†,21921,21-Suburb: Large,†,MD-07,MD-07-070302
EXTENDED DAY LEARNING PROGRAM,Maryland,9th Grade,12th Grade,67,36,3,39.39939,-76.606131,2-No,2-No,1-Yes,13-City: Small,240012000917,Baltimore County,†,21204,13-City: Small,†,MD-03,MD-03-030054
FAIRMONT HEIGHTS HIGH,Maryland,9th Grade,12th Grade,798,577,78,38.917765,-76.895031,1-Yes,2-No,2-No,21-Suburb: Large,240051001029,Prince George's County,†,20785,21-Suburb: Large,†,MD-16,MD-16-161806
FALLSTON HIGH,Maryland,9th Grade,12th Grade,985,93,20,39.524628,-76.412685,2-No,2-No,2-No,22-Suburb: Mid-size,240039000691,Harford County,†,21047,22-Suburb: Mid-size,†,MD-12,MD-12-120382
FLEXIBLE STUDENT SUPPORT,Maryland,9th Grade,12th Grade,24,8,"=""0""",39.534835,-76.990829,2-No,2-No,2-No,41-Rural: Fringe,240021001350,Carroll County,†,21157,41-Rural: Fringe,†,MD-06,MD-06-060903
FOREST PARK HIGH,Maryland,9th Grade,12th Grade,597,597,"=""0""",39.3326,-76.689406,2-No,2-No,2-No,11-City: Large,240009000203,Baltimore city,†,21207,11-City: Large,1-Yes,MD-30,MD-30-300406
FORT HILL HIGH,Maryland,9th Grade,12th Grade,715,320,35,39.644341,-78.74767,2-No,2-No,2-No,13-City: Small,240003000015,Allegany County,†,21502,13-City: Small,†,MD-01,MD-01-010405
