Campus ID,VisaType,D601,D602,D603,D604,D606,D605,D607,Ele1,Ele2,Ele3,Ele4
AA23090,F1 - Student Visa,1,2,3,1,0,1,-1,2,3,0,0
AG29171,F1 - Student Visa,1,2,2,1,3,1,2.5,2,2,2.5,0
AH28458,F1 - Student Visa,1,2,2,1,3,1,2,3,3,0,0
AH31139,F1 - Student Visa,1,1,1,2,3,2,3,2,2,3,0
AI30773,F1 - Student Visa,1,1,2,1.5,4,1,3,2,2,3,3
AI60211,F1 - Student Visa,1,1,2,1,0,2,3,2,3,3,0
AK67771,F1 - Student Visa,1,2,2,1,0,1,2,0,0,0,0
AL79610,F1 - Student Visa,1,2,2,1,0,1,0,2,0,0,0
AM60898,F1 - Student Visa,1,2,2,1,0,1,2,0,0,0,0
AN75453,F1 - Student Visa,1,2,2,1,0,1,5,3,3,0,0
AN85258,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
AO67090,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
AP29057,F1 - Student Visa,1,2,2,1,4,1,3,2,3,3,0
AQ39899,F1 - Student Visa,1,2,2,1,3,1,2,3,3,3,0
AQ58890,Citizen by birth,1,2,3,2,0,3,3,0,0,0,0
AR63214,F1 - Student Visa,1,2,3,1,0,1,2,2,3,3,0
AT38578,F1 - Student Visa,1,2,2,1,0,1,2,3,3,3,0
AT39250,F1 - Student Visa,1,2,2,1,0,1,2,0,0,0,0
AT47056,No Visa Type,1,0,0,0,0,0,0,0,0,0,0
AX36299,F1 - Student Visa,1,2,2,1,3,2,3,1,3,0,0
AX86773,No Visa Type,1,0,0,1,0,0,0,0,0,0,0
BA13810,F1 - Student Visa,1,0,0,1,0,0,1,0,0,0,0
BA23013,F1 - Student Visa,1,1,2,1,0,2,2,3,3,3,0
BA74692,F1 - Student Visa,1,2,3,1,0,1,2,2,3,3,0
BB38770,F1 - Student Visa,1,2,2,1,0,1,2,0,0,0,0
BB48890,F1 - Student Visa,2,0,0,2,0,1.5,1,1,1,2,3
BC59095,F1 - Student Visa,1,2,2,1,0,1,2,0,0,0,0
BD51771,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
BF66133,F1 - Student Visa,1,2,2,2,4,1,1,3,3,3,0
BF68134,F1 - Student Visa,1,2,2,1,3,1,2,2,2.5,3,3
BG98738,F1 - Student Visa,1,2,3,1,0,1,3,2,2,3,0
BH11498,F1 - Student Visa,1,2,2,1,0,1,2,3,3,3,0
BI55498,F1 - Student Visa,1,2,2,2,0,1,1,3,3,0,0
BK80174,No Visa Type,1,2,1.5,2,0,0,0,1,0,0,0
BL60211,F1 - Student Visa,1,2,2,1,3,1,2,3,3,0,0
BL60852,F1 - Student Visa,1,2,2,1,0,1,2,3,3,3,0
BL70493,F1 - Student Visa,1,2,2,1,0,1,2,0,0,0,0
BN34971,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
BO06455,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
BO87773,F1 - Student Visa,1,2,2,1,0,2,1,0,0,0,0
BO89613,No Visa Type,0,1,1,0,5.5,4,3,2,2,5,0
BU09978,F1 - Student Visa,1,2,2,1,3,1,2,3,3,0,0
BU94693,F1 - Student Visa,1,2,2,1,3,1,0,2,3,3,0
BW13617,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
BW88332,F1 - Student Visa,1,2,1,1,0,2,2,3,3,3,0
BZ51019,F1 - Student Visa,1,2,2,1.5,3,1,1,2,3,3,4
CA57170,F1 - Student Visa,1,2,2,1,0,1,2,3,3,3,0
CB37897,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
CD85411,F1 - Student Visa,1,1,2,2,0,1,3,2,3,3,0
CF87137,F1 - Student Visa,1,2,2,1,3,1,3,2,3,0,0
CG69579,F1 - Student Visa,1,2,2,1,0,1,2,3,3,3,0
CI54012,F1 - Student Visa,1,2,2,1,0,1,5,3,3,0,0
CI75173,F1 - Student Visa,2,2.5,3,3,0,2,2,1,1,-1,3
CJ85694,F1 - Student Visa,1,0,0,1,0,0,0,0,0,0,0
CK38174,F1 - Student Visa,1,1,2,2,0,1,3,2,3,3,0
CL61733,F1 - Student Visa,1,1.5,2,1,0,1,1.5,2,2,0,0
CM12215,F1 - Student Visa,2,3,3,2,0,2,3,1,1,1,0
CM93092,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
CN24933,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
CN54533,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
CN74252,F1 - Student Visa,1,3,2,1,0,3,2,3,3,0,0
CO29893,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
CQ84739,F1 - Student Visa,1,2,3,2,4,1,2,1,3,3,0
CS35058,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
CS35138,F1 - Student Visa,1,2,2,1,0,1,3,2,3,3,0
CS49894,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
CS68859,F1 - Student Visa,1,2,2,1,4,1,2,3,3,3,0
CS76576,F1 - Student Visa,1,2,2,1,0,1,0,2,0,0,0
CT20254,No Visa Type,1,4,3,2,0,1,2,1,2,3,0
CT39859,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
CT78371,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
CW54735,F1 - Student Visa,1,2,2,1,3,1,2,3,3,0,0
CX00372,No Visa Type,0,0,3,2,0,2,0,1,0,0,0
CX29650,F1 - Student Visa,1,2,2,1,0,1,2,0,0,0,0
CZ04458,F1 - Student Visa,1,1,3,2,0,2,3,1,2,3,0
CZ35053,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
CZ75456,F1 - Student Visa,1,2,2,1,0,1,2,3,3,3,0
CZ94050,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
DA54897,F1 - Student Visa,1,1,2,2,0,1,2,3,3,3,0
DE14051,F1 - Student Visa,1,2,2,1,3,1,2,3,3,0,0
DE33092,F1 - Student Visa,1,1,0,0,0,1,0,0,0,0,0
DF25776,F1 - Student Visa,1,3,3,2,0,3,2,1,1,2,0
DF89133,F1 - Student Visa,1,2,2,1,0,1,3,2,3,3,0
DK80177,F1 - Student Visa,1,2,2,1,0,1,3,2,3,3,0
DL32738,F1 - Student Visa,1,1,2,2,3,1,2,3,3,0,0
DN59178,F1 - Student Visa,1,1.5,2,1,0,1,2,1.5,2,0,0
DP50052,F1 - Student Visa,1,2,2,1,0,1,2,0,0,0,0
DQ22334,No Visa Type,1,2,4,3,0,2,1,3,5,6,0
DR04051,F1 - Student Visa,2,3,3,2,0,3,2,1,-1,1,2.5
DR36090,No Visa Type,1,2,2,2,3,1,3,1,2.5,0,0
DT21815,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
DU72811,F1 - Student Visa,1,0,1,1,0,0,0,0,0,0,0
DX62011,F1 - Student Visa,1,2,2,1,0,1,0,2,0,0,0
DY82337,No Visa Type,1,2.5,3,2,0,1.5,4.5,4,5,0,0
DZ93614,F1 - Student Visa,1,2,2,1,0,1,0,2,0,0,0
EC20816,F1 - Student Visa,1,2,2,1,0,1,3,2,3,3,0
EC49897,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
EE14374,F1 - Student Visa,1,2,2,1,0,1,2,3,3,3,0
EE36010,F1 - Student Visa,1,2,2,1,0,1,2,0,0,0,0
EF46579,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
EF58338,F1 - Student Visa,1,2,2,1,0,1,2,3,3,3,0
EG10774,F1 - Student Visa,1,2,2,1,0,1,2,0,0,0,0
EG21094,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
EI34057,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
EJ66499,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
EL93253,F1 - Student Visa,1,2,2,1,0,1,2,0,0,0,0
EN35210,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
EN80057,No Visa Type,2,0,0,2,0,0,0,1,0,0,0
EO92018,F1 - Student Visa,1,2,2,1,0,1,3,2,3,3,0
EQ55698,F1 - Student Visa,1,2,2,1,3,1,3,2,3,0,0
